Age,Distribution Period in Years
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,27.4
73,26.5
74,25.5
75,24.6
76,23.7
77,22.9
78,22
79,21.1
80,20.2
81,19.4
82,18.5
83,17.7
84,16.8
85,16
86,15.2
87,14.4
88,13.7
89,12.9
90,12.2
91,11.5
92,10.8
93,10.1
94,9.5
95,8.9
96,8.4
97,7.8
98,7.3
99,6.8
100,6.4
101,6
102,5.6
103,5.2
104,4.9
105,4.6
106,4.3
107,4.1
108,3.9
109,3.7
110,3.5
111,3.4
112,3.3
113,3.1
114,3
115,2.9
116,2.8
117,2.7
118,2.5
119,2.3
120,2